field_id,region,crop_type,soil_organic_carbon,soil_ph,nitrogen_kgha,phosphorus_kgha,potassium_kgha,clay_content_pct,sulphur_ppm,calcium_meq,magnesium_meq,zinc_ppm,iron_ppm,copper_ppm,manganese_ppm,boron_ppm,electrical_conductivity_dsm,cumulative_rainfall_mm,growing_degree_days,avg_temperature_c,heat_stress_days,peak_ndvi,bio_applied,bio_product_type,bio_dosage_l_ha,observed_yield_q_acre,counterfactual_yield_q_acre,bio_attributed_lift_q,crop_msp_rs_q,gross_revenue_gain_rs,net_profit_rs
IND_FIELD_0305,Uttar Pradesh & Bihar,Rice (Paddy),11.97,7.83,116.8,28.4,213.6,25.9,22.5,26.2,13.1,0.43,9.87,0.34,2.42,0.54,0.4,1169.0,2773.7,27.1,9,0.92,1,Syngenta Isabion,1.92,49.43,43.79,5.64,2300.0,12975.0,10975.0
IND_FIELD_0306,Karnataka & Tamil Nadu,Rice (Paddy),12.38,6.96,79.2,31.1,307.1,33.1,13.0,12.3,6.4,1.32,6.89,0.29,6.14,0.71,0.15,1382.3,2714.0,30.5,9,0.92,1,Syngenta CropBio+ (Biostimulant),2.1,49.65,43.31,6.34,2300.0,14583.0,12853.0
IND_FIELD_0307,Andhra Pradesh & Telangana,Wheat,4.82,7.03,126.0,28.2,179.6,40.3,21.2,27.4,8.8,0.91,7.17,0.85,6.0,0.6,0.71,1186.0,2247.8,32.8,5,0.92,1,Syngenta Isabion,2.25,38.77,34.01,4.76,2275.0,10840.0,9024.0
IND_FIELD_0308,Maharashtra & Vidarbha (Deccan),Wheat,6.42,6.54,77.9,27.8,158.5,33.1,6.0,21.7,13.6,1.18,6.64,0.3,7.02,0.76,0.77,876.1,2140.4,32.3,7,0.904,0,None,0.0,32.65,32.79,-0.14,2275.0,-319.0,-319.0
IND_FIELD_0309,Uttar Pradesh & Bihar,Sugarcane,3.69,7.18,198.0,34.6,225.6,20.0,9.0,16.4,5.3,0.67,5.16,0.34,6.02,0.59,0.83,954.5,2279.4,31.4,5,0.871,0,None,0.0,516.53,516.96,-0.43,340.0,-146.0,-146.0
IND_FIELD_0310,Maharashtra & Vidarbha (Deccan),Groundnut (Peanut),6.73,6.58,233.9,46.8,303.3,39.7,6.5,24.4,11.1,0.95,3.61,0.37,6.56,0.45,0.65,1305.5,2915.3,26.7,1,0.92,0,None,0.0,25.58,24.99,0.59,6783.0,3998.0,3998.0
IND_FIELD_0311,Maharashtra & Vidarbha (Deccan),Groundnut (Peanut),12.0,5.89,234.6,27.6,280.9,42.2,11.9,24.1,10.0,0.84,6.18,0.85,6.1,0.5,0.53,974.1,2620.8,23.6,3,0.92,0,None,0.0,27.93,27.62,0.31,6783.0,2082.0,2082.0
IND_FIELD_0312,Punjab & Haryana (Indo-Gangetic),Maize,9.2,6.45,215.7,34.5,318.9,26.7,22.3,14.6,10.6,1.34,3.58,0.73,5.47,0.85,0.34,692.6,2155.0,24.8,6,0.849,1,Syngenta Isabion,1.41,61.6,55.19,6.41,2225.0,14272.0,12424.0
IND_FIELD_0313,Punjab & Haryana (Indo-Gangetic),Onion,7.33,5.82,168.1,40.8,85.4,37.9,7.7,10.7,7.2,1.12,7.22,0.75,4.35,0.58,0.85,863.8,2945.0,33.2,3,0.891,0,None,0.0,199.68,200.31,-0.63,2800.0,-1754.0,-1754.0
IND_FIELD_0314,Karnataka & Tamil Nadu,Soybean,7.59,8.15,186.2,23.6,107.1,30.8,16.9,19.5,6.8,1.1,5.44,0.27,6.96,0.4,0.56,940.5,1876.7,33.1,3,0.92,1,Syngenta Quantis,1.48,23.48,21.41,2.07,4892.0,10141.0,8429.0
IND_FIELD_0315,Uttar Pradesh & Bihar,Cotton,3.51,8.12,111.3,23.9,226.3,44.7,14.1,22.5,10.7,0.35,7.1,0.79,5.58,0.9,0.63,541.9,2778.9,34.4,6,0.684,1,Syngenta CropBio+ (Biostimulant),2.66,20.38,16.37,4.01,7121.0,28541.0,26656.0
IND_FIELD_0316,Andhra Pradesh & Telangana,Soybean,6.8,6.75,173.5,52.1,276.9,43.4,22.9,29.3,5.8,0.9,4.18,0.49,4.19,0.81,0.63,1156.6,2414.7,23.0,4,0.92,0,None,0.0,22.26,23.18,-0.92,4892.0,-4511.0,-4511.0
IND_FIELD_0317,Maharashtra & Vidarbha (Deccan),Sugarcane,10.61,7.55,142.0,43.1,148.5,33.8,8.2,30.4,7.9,0.81,10.01,0.38,2.46,0.29,0.74,553.9,2823.8,29.0,4,0.764,0,None,0.0,557.2,557.41,-0.21,340.0,-72.0,-72.0
IND_FIELD_0318,Punjab & Haryana (Indo-Gangetic),Gram / Chickpea (Chana),14.22,6.63,146.8,36.8,137.4,38.7,9.8,21.6,5.5,1.32,9.73,0.6,3.6,0.95,0.16,834.7,3098.4,30.4,5,0.92,1,Syngenta CropBio+ (Biostimulant),2.52,24.08,21.47,2.61,5440.0,14217.0,12389.0
IND_FIELD_0319,Punjab & Haryana (Indo-Gangetic),Cotton,12.82,7.41,196.4,39.9,268.9,44.5,6.5,26.6,3.6,0.58,4.59,0.78,4.99,0.74,0.3,1214.4,2850.0,31.2,4,0.92,1,Syngenta CropBio+ (Biostimulant),2.93,26.42,24.2,2.23,7121.0,15855.0,14183.0
IND_FIELD_0320,Maharashtra & Vidarbha (Deccan),Tur / Pigeon Pea (Arhar),3.76,7.73,110.7,13.3,93.5,32.9,13.8,19.7,13.7,0.6,5.71,0.75,3.52,0.36,0.62,894.2,2418.8,30.4,4,0.864,0,None,0.0,13.49,13.76,-0.27,7550.0,-2020.0,-2020.0
IND_FIELD_0321,Andhra Pradesh & Telangana,Soybean,13.38,8.07,117.2,38.6,168.7,27.4,11.0,26.4,8.0,0.75,7.68,0.82,3.22,0.42,0.78,1249.9,2011.4,32.0,11,0.92,0,None,0.0,23.22,23.58,-0.35,4892.0,-1726.0,-1726.0
IND_FIELD_0322,Uttar Pradesh & Bihar,Tur / Pigeon Pea (Arhar),12.12,6.76,226.4,33.9,201.4,40.6,21.7,14.5,13.7,0.57,3.9,0.85,4.9,0.73,0.63,774.8,2928.9,26.7,4,0.913,1,Syngenta CropBio+ (Biostimulant),2.96,21.95,20.34,1.61,7550.0,12120.0,10288.0
IND_FIELD_0323,Andhra Pradesh & Telangana,Rice (Paddy),12.08,7.68,70.1,35.5,214.5,24.6,16.9,18.2,5.0,0.44,5.79,0.37,2.93,0.8,0.44,1359.8,2445.0,24.3,4,0.92,1,Syngenta CropBio+ (Biostimulant),2.59,45.43,41.48,3.95,2300.0,9082.0,7221.0
IND_FIELD_0324,Maharashtra & Vidarbha (Deccan),Soybean,8.54,6.44,147.4,27.5,254.9,29.7,17.1,24.0,9.7,1.24,5.03,0.5,6.4,0.42,0.4,649.0,1905.4,24.7,3,0.779,1,Syngenta Quantis,2.6,23.89,22.19,1.7,4892.0,8327.0,6473.0
IND_FIELD_0325,Karnataka & Tamil Nadu,Wheat,7.88,8.18,224.3,15.5,165.2,44.0,15.6,10.4,5.6,0.91,9.88,0.21,4.66,0.43,0.67,486.4,2806.7,22.2,8,0.737,1,Syngenta CropBio+ (Biostimulant),2.28,40.23,35.31,4.93,2275.0,11205.0,9434.0
IND_FIELD_0326,Uttar Pradesh & Bihar,Cotton,6.83,5.86,169.9,20.3,227.0,39.7,7.7,25.9,11.8,1.25,9.42,0.82,5.16,0.46,0.67,1278.8,2208.6,26.6,7,0.92,1,Syngenta Isabion,2.11,22.35,20.15,2.2,7121.0,15660.0,13712.0
IND_FIELD_0327,Andhra Pradesh & Telangana,Cotton,4.22,7.25,158.4,52.9,220.5,30.1,14.0,28.4,11.7,1.21,7.43,0.31,2.81,0.67,0.57,1164.6,1868.4,23.2,2,0.918,0,None,0.0,19.23,19.68,-0.44,7121.0,-3167.0,-3167.0
IND_FIELD_0328,Andhra Pradesh & Telangana,Rice (Paddy),6.01,7.38,105.0,29.6,211.4,24.4,24.0,18.8,4.7,0.61,7.0,0.8,3.79,0.37,0.35,670.4,3063.9,26.2,7,0.793,1,Syngenta Quantis,2.37,41.81,35.95,5.86,2300.0,13489.0,11463.0
IND_FIELD_0329,Maharashtra & Vidarbha (Deccan),Groundnut (Peanut),6.21,7.45,121.8,32.1,233.7,28.7,21.0,19.9,13.1,0.9,9.99,0.43,4.26,0.32,0.8,1385.5,2476.3,30.2,2,0.92,1,Syngenta Quantis,1.88,25.03,23.36,1.66,6783.0,11281.0,9584.0
IND_FIELD_0330,Punjab & Haryana (Indo-Gangetic),Wheat,8.82,6.09,213.4,14.3,142.3,26.5,22.1,28.7,5.5,0.39,10.01,0.46,6.45,0.73,0.54,927.2,2193.3,33.6,5,0.876,0,None,0.0,37.91,38.69,-0.78,2275.0,-1770.0,-1770.0
IND_FIELD_0331,Maharashtra & Vidarbha (Deccan),Rice (Paddy),11.72,8.05,160.7,13.6,100.3,23.3,20.8,27.1,9.9,1.31,10.28,0.23,6.24,0.8,0.7,1353.5,2802.9,32.9,2,0.92,1,Syngenta Isabion,2.84,46.8,42.45,4.35,2300.0,9994.0,8289.0
IND_FIELD_0332,Uttar Pradesh & Bihar,Sugarcane,8.71,6.23,152.7,42.8,108.6,40.3,7.9,16.3,13.8,0.74,4.12,0.43,3.23,0.6,0.3,929.8,3040.3,25.3,4,0.905,0,None,0.0,560.67,561.02,-0.35,340.0,-118.0,-118.0
IND_FIELD_0333,Punjab & Haryana (Indo-Gangetic),Maize,4.14,7.29,77.9,35.1,133.9,25.6,10.1,17.1,12.8,0.73,4.37,0.82,5.39,0.5,0.39,898.3,1800.4,23.7,6,0.794,0,None,0.0,40.12,40.47,-0.34,2225.0,-759.0,-759.0
IND_FIELD_0334,Punjab & Haryana (Indo-Gangetic),Cotton,14.04,6.33,62.9,33.9,200.0,31.6,6.1,24.9,13.5,0.63,8.14,0.22,3.34,0.55,0.76,876.7,2763.0,24.5,4,0.92,1,Syngenta Isabion,2.45,24.78,22.83,1.95,7121.0,13906.0,12119.0
IND_FIELD_0335,Punjab & Haryana (Indo-Gangetic),Rice (Paddy),13.87,6.54,233.5,22.5,281.7,29.6,11.5,22.4,7.1,0.81,7.15,0.48,7.44,0.52,0.19,768.1,2873.8,34.6,3,0.92,0,None,0.0,48.58,49.54,-0.96,2300.0,-2201.0,-2201.0
IND_FIELD_0336,Punjab & Haryana (Indo-Gangetic),Soybean,12.14,7.11,127.9,44.0,248.3,47.5,8.0,13.6,4.6,0.58,3.33,0.22,7.24,0.92,0.51,957.0,2093.9,29.1,5,0.92,0,None,0.0,23.66,24.65,-0.99,4892.0,-4856.0,-4856.0
IND_FIELD_0337,Karnataka & Tamil Nadu,Cotton,14.4,6.8,168.6,19.2,269.4,29.7,14.5,16.8,5.5,0.71,3.65,0.46,5.1,0.79,0.49,879.9,2485.5,24.4,3,0.92,1,Syngenta CropBio+ (Biostimulant),2.38,27.18,24.84,2.34,7121.0,16636.0,14608.0
IND_FIELD_0338,Uttar Pradesh & Bihar,Maize,9.49,6.18,74.3,20.2,164.2,20.4,18.2,29.8,8.8,1.18,9.68,0.32,5.84,0.4,0.68,484.9,1925.0,32.9,7,0.751,0,None,0.0,46.44,45.78,0.66,2225.0,1471.0,1471.0
IND_FIELD_0339,Maharashtra & Vidarbha (Deccan),Cotton,14.09,6.21,183.0,31.8,177.1,20.7,21.7,25.1,11.8,1.22,9.54,0.38,6.41,0.52,0.35,697.4,2845.4,27.1,4,0.876,1,Syngenta Quantis,2.15,26.44,24.78,1.66,7121.0,11843.0,9847.0
IND_FIELD_0340,Punjab & Haryana (Indo-Gangetic),Wheat,4.33,6.8,227.9,24.3,174.5,35.7,19.5,31.7,5.1,0.63,5.81,0.81,5.97,0.63,0.3,652.5,2986.4,33.7,6,0.758,0,None,0.0,34.45,34.61,-0.16,2275.0,-363.0,-363.0
IND_FIELD_0341,Maharashtra & Vidarbha (Deccan),Maize,7.52,7.62,163.6,22.6,126.0,36.0,22.9,26.9,10.4,0.82,9.7,0.51,5.85,0.68,0.8,1274.1,1951.5,25.4,7,0.92,0,None,0.0,48.89,48.68,0.22,2225.0,480.0,480.0
IND_FIELD_0342,Maharashtra & Vidarbha (Deccan),Soybean,5.98,7.96,82.7,39.7,94.7,30.6,7.0,30.7,6.9,1.26,7.53,0.39,7.27,0.58,0.55,1018.9,2943.0,27.1,8,0.895,0,None,0.0,19.2,19.31,-0.11,4892.0,-535.0,-535.0
IND_FIELD_0343,Punjab & Haryana (Indo-Gangetic),Wheat,5.65,6.0,164.7,40.0,221.8,31.0,6.2,14.8,7.1,0.36,9.08,0.61,5.28,0.82,0.22,1175.5,2880.2,28.6,8,0.92,1,Syngenta CropBio+ (Biostimulant),2.08,40.14,35.41,4.73,2275.0,10753.0,9065.0
IND_FIELD_0344,Maharashtra & Vidarbha (Deccan),Cotton,5.05,6.74,197.9,47.5,317.4,19.6,17.9,27.0,10.5,1.28,6.32,0.3,5.5,0.79,0.29,1359.0,2285.7,33.6,8,0.92,1,Syngenta CropBio+ (Biostimulant),2.7,24.06,21.13,2.93,7121.0,20879.0,19124.0
IND_FIELD_0345,Maharashtra & Vidarbha (Deccan),Onion,10.35,6.04,133.2,30.0,120.0,33.5,11.2,10.4,8.4,0.54,4.03,0.38,6.67,0.6,0.85,1061.8,2766.4,33.3,2,0.92,1,Syngenta CropBio+ (Biostimulant),1.65,235.51,213.33,22.18,2800.0,62110.0,60323.0
IND_FIELD_0346,Andhra Pradesh & Telangana,Wheat,12.09,5.84,218.4,15.1,91.2,33.1,10.6,24.8,12.0,1.05,6.37,0.58,5.68,0.85,0.29,1383.5,1800.1,29.5,8,0.92,1,Syngenta CropBio+ (Biostimulant),2.49,45.64,40.56,5.08,2275.0,11563.0,9639.0
IND_FIELD_0347,Andhra Pradesh & Telangana,Groundnut (Peanut),9.86,7.39,176.8,23.8,267.1,22.5,12.0,20.3,5.1,0.94,6.54,0.37,6.03,0.78,0.58,746.2,3104.5,24.9,4,0.853,0,None,0.0,24.99,24.97,0.02,6783.0,155.0,155.0
IND_FIELD_0348,Punjab & Haryana (Indo-Gangetic),Wheat,5.12,7.25,221.9,54.1,140.6,21.1,10.9,17.6,11.8,0.91,7.22,0.68,3.29,0.8,0.44,627.0,2570.5,27.2,6,0.749,1,Syngenta Quantis,1.31,39.55,34.64,4.91,2275.0,11160.0,9263.0
IND_FIELD_0349,Maharashtra & Vidarbha (Deccan),Soybean,12.42,6.19,172.2,37.6,279.1,21.7,15.2,29.0,4.2,1.25,3.97,0.54,4.04,0.92,0.77,833.1,2668.5,34.7,5,0.92,0,None,0.0,25.19,24.7,0.5,4892.0,2423.0,2423.0
IND_FIELD_0350,Andhra Pradesh & Telangana,Sugarcane,10.5,6.36,83.6,42.5,248.9,21.0,13.9,28.8,5.5,0.41,10.44,0.74,2.81,0.44,0.68,897.3,2730.5,29.9,5,0.92,0,None,0.0,580.06,580.0,0.06,340.0,22.0,22.0
IND_FIELD_0351,Andhra Pradesh & Telangana,Onion,7.77,5.86,115.7,12.3,307.0,36.3,15.2,10.5,10.4,0.68,4.98,0.86,4.78,0.44,0.57,1300.6,2585.9,32.2,5,0.92,1,Syngenta Isabion,2.83,227.29,200.92,26.37,2800.0,73844.0,72011.0
IND_FIELD_0352,Karnataka & Tamil Nadu,Sugarcane,10.92,7.8,96.3,34.3,178.1,23.9,18.1,23.4,12.5,0.89,4.65,0.28,4.51,0.87,0.16,981.9,2999.5,27.8,7,0.92,0,None,0.0,579.03,578.6,0.42,340.0,144.0,144.0
IND_FIELD_0353,Andhra Pradesh & Telangana,Groundnut (Peanut),6.36,8.14,223.6,13.6,238.9,25.5,13.0,18.1,6.2,1.19,7.05,0.43,7.48,0.79,0.77,727.6,2653.6,28.9,5,0.835,1,Syngenta Quantis,1.58,25.52,23.58,1.93,6783.0,13114.0,11389.0
IND_FIELD_0354,Punjab & Haryana (Indo-Gangetic),Gram / Chickpea (Chana),7.3,6.13,196.9,36.5,191.6,23.2,10.5,19.1,6.9,0.54,7.12,0.42,5.36,0.9,0.46,1155.5,3070.9,27.6,3,0.92,0,None,0.0,19.71,19.25,0.45,5440.0,2462.0,2462.0
IND_FIELD_0355,Punjab & Haryana (Indo-Gangetic),Cotton,13.59,6.36,181.8,51.6,231.3,46.7,9.0,28.3,9.1,1.18,6.41,0.31,6.33,0.29,0.8,930.5,2615.3,31.1,6,0.92,1,Syngenta CropBio+ (Biostimulant),2.96,27.38,25.15,2.22,7121.0,15840.0,14180.0
IND_FIELD_0356,Andhra Pradesh & Telangana,Cotton,6.7,7.88,114.2,53.6,187.9,43.6,12.3,16.8,5.7,0.74,8.83,0.77,3.84,0.69,0.5,604.0,2039.6,33.1,7,0.782,0,None,0.0,18.85,18.3,0.55,7121.0,3938.0,3938.0
IND_FIELD_0357,Punjab & Haryana (Indo-Gangetic),Sugarcane,8.67,8.02,93.1,35.2,125.3,24.9,19.4,30.7,12.0,0.51,6.97,0.73,6.57,0.35,0.64,998.0,3079.0,28.6,9,0.92,1,Syngenta Isabion,1.83,624.93,533.46,91.47,340.0,31099.0,29053.0
IND_FIELD_0358,Andhra Pradesh & Telangana,Rice (Paddy),13.29,6.81,196.2,31.7,201.9,27.8,19.6,14.0,11.6,1.13,7.65,0.54,5.38,0.6,0.2,1315.8,2754.3,28.3,4,0.92,0,None,0.0,46.71,47.42,-0.71,2300.0,-1627.0,-1627.0
IND_FIELD_0359,Karnataka & Tamil Nadu,Mustard / Rapeseed,11.28,5.92,145.3,52.6,206.9,24.3,18.0,24.6,5.0,0.4,8.48,0.58,5.83,0.36,0.67,1250.5,2778.9,26.4,2,0.92,1,Syngenta Quantis,2.56,32.08,28.73,3.35,5650.0,18950.0,17025.0
IND_FIELD_0360,Andhra Pradesh & Telangana,Gram / Chickpea (Chana),4.18,5.89,100.6,41.0,274.5,32.8,10.2,24.8,8.4,0.87,3.38,0.24,3.62,0.34,0.39,1007.5,3179.7,24.3,5,0.857,1,Syngenta CropBio+ (Biostimulant),2.0,19.13,16.62,2.51,5440.0,13647.0,11628.0
IND_FIELD_0361,Maharashtra & Vidarbha (Deccan),Rice (Paddy),5.12,7.18,171.0,14.8,256.5,18.6,16.6,15.5,11.6,0.37,7.37,0.59,5.02,0.26,0.4,808.2,1905.3,34.2,9,0.835,1,Syngenta Isabion,2.35,44.4,36.79,7.61,2300.0,17497.0,15532.0
IND_FIELD_0362,Andhra Pradesh & Telangana,Cotton,3.59,6.74,67.3,32.0,239.3,38.1,16.3,17.1,7.0,0.69,9.65,0.75,5.49,0.69,0.23,532.6,2400.0,26.1,6,0.686,1,Syngenta CropBio+ (Biostimulant),2.12,20.39,15.84,4.55,7121.0,32381.0,30516.0
IND_FIELD_0363,Maharashtra & Vidarbha (Deccan),Groundnut (Peanut),10.44,5.87,118.7,22.3,107.2,33.7,14.7,28.4,10.1,0.96,3.33,0.6,5.24,0.5,0.25,896.2,2134.7,32.4,4,0.894,1,Syngenta Isabion,1.51,26.81,23.79,3.01,6783.0,20433.0,18573.0
IND_FIELD_0364,Andhra Pradesh & Telangana,Cotton,8.42,7.2,144.3,32.2,252.9,45.0,15.9,26.8,4.0,0.91,6.16,0.39,7.03,0.32,0.28,1164.5,2682.6,31.3,9,0.92,1,Syngenta Quantis,1.52,24.39,20.85,3.54,7121.0,25206.0,23553.0
IND_FIELD_0365,Karnataka & Tamil Nadu,Mustard / Rapeseed,4.98,5.83,86.6,31.6,200.1,22.9,14.9,17.2,9.9,0.75,9.96,0.67,6.94,0.48,0.38,792.3,2929.5,32.3,5,0.877,1,Syngenta Isabion,2.89,26.09,22.61,3.48,5650.0,19662.0,17844.0
IND_FIELD_0366,Maharashtra & Vidarbha (Deccan),Rice (Paddy),14.04,7.69,237.2,37.0,294.6,42.1,16.2,21.7,5.1,0.77,5.78,0.45,7.34,0.37,0.77,673.7,3152.8,34.2,6,0.906,0,None,0.0,48.0,49.04,-1.04,2300.0,-2401.0,-2401.0
IND_FIELD_0367,Karnataka & Tamil Nadu,Sugarcane,9.33,6.54,97.6,27.3,300.8,41.8,18.9,11.4,12.2,0.55,6.55,0.58,5.67,0.91,0.41,1334.8,2436.4,30.1,3,0.92,1,Syngenta Isabion,2.3,639.45,574.85,64.6,340.0,21964.0,20129.0
IND_FIELD_0368,Karnataka & Tamil Nadu,Soybean,6.16,5.9,83.5,19.1,93.2,21.8,8.0,14.6,7.2,0.8,10.37,0.54,7.35,0.47,0.66,1230.5,2900.7,33.7,7,0.92,1,Syngenta CropBio+ (Biostimulant),1.2,22.15,18.83,3.32,4892.0,16218.0,14230.0
IND_FIELD_0369,Punjab & Haryana (Indo-Gangetic),Sugarcane,9.01,7.21,96.6,33.7,277.0,30.0,19.5,20.7,6.5,1.35,4.66,0.47,6.58,0.48,0.21,1056.4,3083.9,24.2,4,0.92,1,Syngenta Isabion,1.98,638.31,575.36,62.95,340.0,21402.0,19722.0
IND_FIELD_0370,Punjab & Haryana (Indo-Gangetic),Wheat,10.98,6.75,198.4,47.7,89.0,23.1,8.4,11.9,12.3,1.24,3.68,0.7,3.49,0.84,0.56,579.9,2756.7,30.1,5,0.741,0,None,0.0,38.7,38.66,0.04,2275.0,101.0,101.0
IND_FIELD_0371,Punjab & Haryana (Indo-Gangetic),Wheat,4.34,8.14,136.6,40.6,168.1,25.6,7.2,28.6,4.0,0.46,9.47,0.82,4.35,0.7,0.49,587.7,2139.8,32.0,5,0.72,1,Syngenta Quantis,2.01,35.5,29.64,5.86,2275.0,13327.0,11356.0
IND_FIELD_0372,Punjab & Haryana (Indo-Gangetic),Cotton,6.52,7.11,161.8,26.5,210.2,25.9,23.6,25.8,7.7,0.33,9.54,0.2,3.31,0.75,0.83,548.1,2651.0,25.5,6,0.756,0,None,0.0,19.87,19.72,0.15,7121.0,1100.0,1100.0
IND_FIELD_0373,Punjab & Haryana (Indo-Gangetic),Maize,12.38,6.46,63.8,52.2,115.5,34.7,23.2,30.8,7.4,1.33,6.65,0.85,2.02,0.7,0.74,1035.5,3157.9,31.6,7,0.92,1,Syngenta Quantis,1.27,59.94,53.02,6.91,2225.0,15386.0,13599.0
IND_FIELD_0374,Andhra Pradesh & Telangana,Mustard / Rapeseed,8.56,7.5,66.2,51.2,259.1,30.3,7.1,25.3,6.5,0.88,6.95,0.56,3.03,0.91,0.47,559.8,3182.6,32.1,10,0.748,0,None,0.0,23.53,24.28,-0.75,5650.0,-4256.0,-4256.0
IND_FIELD_0375,Punjab & Haryana (Indo-Gangetic),Cotton,9.51,6.45,140.2,21.0,82.0,46.4,14.0,30.7,13.1,0.89,9.3,0.69,2.02,0.39,0.69,1250.5,2699.3,32.8,3,0.92,1,Syngenta Isabion,1.76,22.85,20.76,2.09,7121.0,14877.0,12898.0
IND_FIELD_0376,Maharashtra & Vidarbha (Deccan),Soybean,8.26,7.97,207.0,13.7,120.5,21.8,9.4,22.2,11.4,1.16,8.59,0.8,5.96,0.94,0.29,1393.3,3041.8,26.1,5,0.92,1,Syngenta Quantis,2.21,24.21,21.51,2.71,4892.0,13237.0,11342.0
IND_FIELD_0377,Uttar Pradesh & Bihar,Soybean,3.98,6.7,219.3,43.9,219.4,47.2,14.7,23.2,4.2,0.65,5.14,0.53,4.34,0.83,0.54,798.0,2080.5,30.9,6,0.794,0,None,0.0,20.17,20.99,-0.82,4892.0,-4011.0,-4011.0
IND_FIELD_0378,Punjab & Haryana (Indo-Gangetic),Sugarcane,5.32,7.12,75.6,47.6,251.5,24.9,20.9,31.5,11.0,0.83,3.32,0.78,3.72,0.66,0.2,881.0,2144.5,26.0,4,0.839,1,Syngenta Isabion,1.99,568.34,505.24,63.1,340.0,21454.0,19356.0
IND_FIELD_0379,Uttar Pradesh & Bihar,Sugarcane,8.4,5.92,156.9,53.6,300.0,41.2,23.1,24.1,9.0,1.37,6.7,0.32,6.19,0.71,0.39,1126.1,3134.0,31.6,8,0.92,0,None,0.0,595.79,594.56,1.24,340.0,421.0,421.0
IND_FIELD_0380,Maharashtra & Vidarbha (Deccan),Wheat,5.8,6.82,224.4,50.3,249.3,28.2,17.4,10.7,13.0,1.04,9.47,0.31,6.58,0.7,0.31,1340.3,1989.3,28.0,7,0.92,1,Syngenta Isabion,2.13,43.22,38.22,5.01,2275.0,11388.0,9582.0
IND_FIELD_0381,Punjab & Haryana (Indo-Gangetic),Cotton,4.05,7.8,129.8,37.8,241.2,22.3,12.4,25.9,6.8,0.47,9.74,0.66,7.36,0.29,0.65,1299.4,2067.5,29.8,5,0.92,1,Syngenta CropBio+ (Biostimulant),2.88,20.99,18.72,2.26,7121.0,16118.0,14422.0
IND_FIELD_0382,Andhra Pradesh & Telangana,Rice (Paddy),12.78,7.73,209.3,34.8,174.6,43.7,16.9,29.9,9.5,0.45,10.18,0.81,5.53,0.4,0.49,504.7,2388.8,27.4,4,0.846,0,None,0.0,45.03,44.71,0.31,2300.0,721.0,721.0
IND_FIELD_0383,Andhra Pradesh & Telangana,Wheat,14.29,6.34,84.1,13.2,80.3,27.3,11.6,27.5,8.8,0.52,9.62,0.82,4.54,0.92,0.68,610.6,2625.4,24.1,4,0.91,1,Syngenta Isabion,1.42,44.05,39.05,4.99,2275.0,11362.0,9753.0
IND_FIELD_0384,Karnataka & Tamil Nadu,Wheat,12.22,6.34,228.4,22.6,108.8,37.8,22.4,22.8,8.6,1.14,7.43,0.65,3.68,0.62,0.51,1166.9,2645.3,24.3,8,0.92,1,Syngenta Isabion,2.68,47.09,41.52,5.57,2275.0,12682.0,11015.0
IND_FIELD_0385,Uttar Pradesh & Bihar,Tomato,12.89,7.76,195.3,31.8,208.3,35.0,21.7,24.8,8.3,0.62,6.45,0.57,3.22,0.51,0.21,1104.4,2208.8,23.0,7,0.92,0,None,0.0,298.91,298.6,0.3,2400.0,730.0,730.0
IND_FIELD_0386,Uttar Pradesh & Bihar,Soybean,6.16,8.03,229.4,39.0,242.0,32.2,16.0,31.8,5.7,0.32,8.86,0.43,3.17,0.78,0.66,576.6,3088.9,30.0,8,0.758,1,Syngenta Isabion,1.87,24.45,20.97,3.48,4892.0,17021.0,15036.0
IND_FIELD_0387,Maharashtra & Vidarbha (Deccan),Maize,14.07,6.03,181.8,36.0,180.2,32.9,11.8,12.0,11.4,1.34,8.6,0.89,4.25,0.62,0.73,927.0,3081.1,33.0,8,0.92,1,Syngenta Quantis,1.97,64.68,57.91,6.77,2225.0,15070.0,13155.0
IND_FIELD_0388,Punjab & Haryana (Indo-Gangetic),Rice (Paddy),5.67,6.88,125.4,43.9,255.4,40.0,11.3,24.7,8.2,0.49,7.13,0.42,7.45,0.26,0.78,1191.8,2348.9,22.3,5,0.92,0,None,0.0,37.79,37.73,0.06,2300.0,137.0,137.0
IND_FIELD_0389,Uttar Pradesh & Bihar,Rice (Paddy),13.97,6.61,228.9,24.0,205.2,20.6,6.6,16.2,13.6,0.31,3.84,0.72,2.0,0.77,0.55,657.8,2408.0,22.9,3,0.862,0,None,0.0,47.38,47.96,-0.58,2300.0,-1325.0,-1325.0
IND_FIELD_0390,Uttar Pradesh & Bihar,Maize,14.44,7.89,109.6,36.3,97.8,38.0,20.7,24.1,6.2,0.56,9.96,0.57,3.08,0.76,0.68,1277.7,2783.5,27.9,7,0.92,1,Syngenta Isabion,2.63,62.8,55.64,7.16,2225.0,15931.0,14171.0
IND_FIELD_0391,Karnataka & Tamil Nadu,Maize,11.33,6.0,119.8,15.8,126.1,44.9,14.1,23.4,10.7,0.56,6.53,0.63,3.04,0.37,0.68,500.3,2728.2,31.6,3,0.814,0,None,0.0,49.89,49.45,0.44,2225.0,970.0,970.0
